Title,Directed by,Produced by,Cinematography,Country,Running Time (int),Release Date (datetime),Distributed by,Language,Written by,Starring,Edited by,Music by,Production companies,Based on,Story by,Budget (float),Box Office (float),Box Office Status,Release Year,Trailer ID,Trailer Title
Hellboy,Neil Marshall,"['Lawrence Gordon', 'Lloyd Levin', 'Mike Richardson', 'Philip Westgren', 'Carl Hampe', ""Matt O'Toole"", 'Les Weldon', 'Yariv Lerner']",Lorenzo Senatore,,121.0,2019-04-09,['Lionsgate'],English,Andrew Cosby,"['David Harbour', 'Milla Jovovich', 'Ian McShane', 'Sasha Lane', 'Daniel Dae Kim', 'Thomas Haden Church']",Martin Bernfeld,Benjamin Wallfisch,"['Summit Entertainment', 'Millennium Media', 'Lawrence Gordon/Lloyd Levin Productions', 'Dark Horse Entertainment', 'Nu Boyana', 'Campbell Grobman Films']","['Hellboy', 'by ', 'Mike Mignola']",,50000000.0,55100000.0,Failure,2019,,
Little,Tina Gordon,"['Will Packer', 'Kenya Barris', 'James Lopez']",Greg Gardiner,United States,109.0,2019-04-08,Universal Pictures,English,"['Tracy Oliver', 'Tina Gordon']","['Regina Hall', 'Issa Rae', 'Marsai Martin']",David Moritz,Germaine Franco,"['Legendary Pictures', 'Will Packer Productions', 'Perfect World Pictures']",,Tracy Oliver,20000000.0,49000000.0,Success,2019,,
Missing Link,Chris Butler,"['Arianne Sutner', 'Travis Knight']",Chris Peterson,United States,94.0,2019-04-05,"['United Artists Releasing (United States)', 'AGC International (International)']",English,Chris Butler,"['Hugh Jackman', 'Zoe Saldana', 'David Walliams', 'Stephen Fry', 'Matt Lucas', 'Timothy Olyphant', 'Amrita Acharia', 'Ching Valdes-Aran', 'Emma Thompson', 'Zach Galifianakis']",Stephen Perkins,Carter Burwell,"['Annapurna Pictures', 'Laika']",,,100000000.0,26600000.0,Failure,2019,,
After,Jenny Gage,"['Jennifer Gibgot', 'Courtney Solomon', 'Mark Canton', 'Aron Levitz', 'Anna Todd', 'Meadow Williams', 'Dennis Pelino']","['Adam Silver', 'Tom Betterton']",United States,106.0,2019-04-08,Aviron Pictures,English,"['Susan McMartin', 'Tamara Chestna', 'Jenny Gage', 'Tom Betterton']","['Josephine Langford', 'Hero Fiennes Tiffin', 'Selma Blair', 'Inanna Sarkis', 'Shane Paul McGhie', 'Pia Mia', 'Khadijha Red Thunder', 'Dylan Arnold', 'Samuel Larsen', 'Jennifer Beals', 'Peter Gallagher']",Michelle Harrison,Justin Burnett,"['Voltage Pictures', 'CalMaple Media', 'Diamond Film Productions', 'Offspring Entertainment', 'Frayed Pages Entertainment', 'Wattpad Studios']","['After', 'by ', 'Anna Todd']",,14000000.0,69500000.0,Success,2019,,
Breakthrough,Roxann Dawson,DeVon Franklin,Zoran Popovic,United States,116.0,2019-03-20,20th Century Fox,English,Grant Nieporte,"['Chrissy Metz', 'Josh Lucas', 'Topher Grace', 'Mike Colter', 'Marcel Ruiz', 'Sam Trammell', 'Dennis Haysbert']",Maysie Hoy,Marcelo Zarvos,"['Fox 2000 Pictures', 'Franklin Entertainment', 'Unanimous Media', 'TSG Entertainment']","['Joyce Smith', 'Ginger Kolbaba']",,14000000.0,50400000.0,Success,2019,,
The Curse of La Llorona,Michael Chaves,"['James Wan', 'Gary Dauberman', 'Emile Gladstone']",Michael Burgess,United States,93.0,2019-03-15,Warner Bros. Pictures,,"['Mikki Daughtry', 'Tobias Iaconis']","['Linda Cardellini', 'Raymond Cruz', 'Patricia Velásquez']",Peter Gvozdas,Joseph Bishara,"['New Line Cinema', 'Atomic Monster', 'Emile Gladstone Productions']",,,9000000.0,123100000.0,Success,2019,,
Under the Silver Lake,David Robert Mitchell,"['Michael De Luca', 'Chris Bender', 'Jake Weiner', 'Adele Romanski', 'David Robert Mitchell']",Michael Gioulakis,United States,139.0,2018-05-15,A24,English,David Robert Mitchell,"['Andrew Garfield', 'Riley Keough', 'Topher Grace']",Julio C. Perez IV,Disasterpeace,"['Vendian Entertainment', 'VX119 Media Capital', 'Stay Gold Features', 'Good Fear', 'Michael De Luca Productions', 'Pastel Productions', 'UnLtd Productions', 'Salem Street Entertainment', 'Boo Pictures']",,,8000000.0,2053469.0,Failure,2018,,
Avengers: Endgame,"['Anthony Russo', 'Joe Russo']",Kevin Feige,Trent Opaloch,United States,181.0,2019-04-22,"['Walt Disney Studios', 'Motion Pictures']",English,"['Christopher Markus', 'Stephen McFeely']","['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo', 'Chris Hemsworth', 'Scarlett Johansson', 'Jeremy Renner', 'Don Cheadle', 'Paul Rudd', 'Brie Larson', 'Karen Gillan', 'Danai Gurira', 'Benedict Wong', 'Jon Favreau', 'Bradley Cooper', 'Gwyneth Paltrow', 'Josh Brolin']","['Jeffrey Ford', 'Matthew Schmidt']",Alan Silvestri,Marvel Studios,"['Stan Lee', 'Jack Kirby']",,356000000.0,2799000000.0,Success,2019,,
Body at Brighton Rock,Roxanne Benjamin,"['Roxanne Benjamin', 'Christopher Alender']",Hannah Getz,United States,87.0,2019-03-08,Magnet Releasing,English,Roxanne Benjamin,"['Karina Fontes', 'Casey Adams', 'Emily Althaus', 'Miranda Bailey', 'Martin Spanjers', 'Matt Peters', 'Susan Burke', 'John Getz']","['Courtney Marcilliat', 'Matt Blundell']",The Gifted,"['SoapBox Films', 'ProtoStar Pictures']",,,500.0,5123.0,Success,2019,,
Long Shot,Jonathan Levine,"['Charlize Theron', 'A.J. Dix', 'Beth Kono', 'Evan Goldberg', 'Seth Rogen', 'James Weaver']",Yves Bélanger,United States,124.0,2019-03-09,Lionsgate,English,"['Dan Sterling', 'Liz Hannah']","['Seth Rogen', 'Charlize Theron', ""O'Shea Jackson Jr."", 'Andy Serkis', 'June Diane Raphael', 'Bob Odenkirk', 'Alexander Skarsgård']","['Melissa Bretherton', 'Evan Henke']","['Marco Beltrami', 'Miles Hankins']","['Summit Entertainment', 'Good Universe', 'Point Grey Pictures', 'Denver + Delilah Productions']",,Dan Sterling,40000000.0,53900000.0,Failure,2019,,
