Title,Directed by,Produced by,Cinematography,Country,Running Time (int),Release Date (datetime),Distributed by,Language,Written by,Starring,Edited by,Music by,Production companies,Based on,Story by,Budget (float),Box Office (float),Box Office Status,Release Year,Trailer ID,Trailer Title
Bridge of Spies,Steven Spielberg,"['Marc Platt', 'Steven Spielberg', 'Kristie Macosko Krieger']",Janusz Kamiński,,141.0,2015-10-04,"['Walt Disney Studios Motion Pictures (United States and Canada)', '20th Century Fox (International)']",,"['Matt Charman', 'Ethan Coen Joel Coen']","['Tom Hanks', 'Mark Rylance', 'Amy Ryan', 'Alan Alda']",Michael Kahn,Thomas Newman,"['DreamWorks Pictures', 'Fox 2000 Pictures', 'Reliance Entertainment', 'Participant Media', 'Afterworks Limited', 'Studio Babelsberg', 'Amblin Entertainment', 'Marc Platt Productions']",,,40000000.0,165500000.0,Success,2015,,
Crimson Peak,Guillermo del Toro,"['Guillermo del Toro', 'Callum Greene', 'Jon Jashni', 'Thomas Tull']",Dan Laustsen,,119.0,2015-09-25,Universal Pictures,English,"['Guillermo del Toro', 'Matthew Robbins']","['Mia Wasikowska', 'Jessica Chastain', 'Tom Hiddleston', 'Charlie Hunnam', 'Jim Beaver']",Bernat Vilaplana,Fernando Velázquez,"['Legendary Pictures', 'Double Dare You Productions']",,,55000000.0,74700000.0,Failure,2015,,
Goosebumps,Rob Letterman,"['Deborah Forte', 'Neal H. Moritz']",Javier Aguirresarobe,United States,103.0,2015-06-24,Sony Pictures Releasing,English,Darren Lemke,"['Jack Black', 'Dylan Minnette', 'Odeya Rush', 'Amy Ryan', 'Ryan Lee', 'Jillian Bell']",Jim May,Danny Elfman,"['Columbia Pictures', 'Sony Pictures Animation', 'LStar Capital', 'Village Roadshow Pictures', 'Original Film', 'Scholastic Entertainment Inc.']","['Goosebumps', 'by ', 'R. L. Stine']","['Scott Alexander', 'Larry Karaszewski']",58000000.0,158300000.0,Success,2015,,
Room,Lenny Abrahamson,"['Ed Guiney', 'David Gross']",Danny Cohen,,118.0,2015-09-04,"['Elevation Pictures (Canada)', 'StudioCanal (United Kingdom and Ireland)', 'A24 (United States)']",English,Emma Donoghue,"['Brie Larson', 'Jacob Tremblay', 'Joan Allen', 'Sean Bridgers', 'Tom McCamus', 'William H. Macy']",Nathan Nugent,Stephen Rennicks,"['FilmNation Entertainment', 'Telefilm Canada', 'Film4', 'Bórd Scannán na hÉireann/Irish Film Board', 'Ontario Media Development Corporation', 'Element Pictures', 'No Trace Camping', 'Duperele Films']","['Room', 'by Emma Donoghue']",,13000000.0,36300000.0,Success,2015,,
Woodlawn,['Erwin Brothers'],"['Kevin Downes', 'Daryl Lefever', 'Joe Knopp']",Kristopher Kimlin,United States,124.0,2015-10-16,Pure Flix Entertainment,English,"['Quinton Peeples', 'Jon Erwin']","['Sean Astin', 'Nic Bishop', 'Caleb Castille', 'Sherri Shepherd', 'Jon Voight', 'C. Thomas Howell']","['Brent McCorkle', 'Andrew Erwin']",Paul Mills,"['Crescent City Pictures', 'Lightworkers Media', 'Pure Flix Entertainment']",,,13000000.0,14400000.0,Failure,2015,,
Truth,James Vanderbilt,"['Bradley J. Fischer', 'Doug Mankoff', 'Brett Ratner', 'William Sherak', 'Andy Spaulding', 'James Vanderbilt']",Mandy Walker,United States,125.0,2015-09-12,Sony Pictures Classics,English,James Vanderbilt,"['Cate Blanchett', 'Robert Redford', 'Topher Grace', 'Elisabeth Moss', 'Bruce Greenwood', 'Stacy Keach', 'Dennis Quaid']",Richard Francis-Bruce,Brian Tyler,"['Echo Lake Entertainment', 'Mythology Entertainment', 'RatPac-Dune Entertainment', 'Dirty Films']","['Truth and Duty', 'by ', 'Mary Mapes']",,9600000.0,5600000.0,Failure,2015,,
Rock the Kasbah,Barry Levinson,"['Steve Bing', 'Bill Block', 'Jacob Pechenik']",Sean Bobbitt,United States,106.0,2015-10-22,Open Road Films,English,Mitch Glazer,"['Bill Murray', 'Kate Hudson', 'Beejan Land', 'Zooey Deschanel', 'Danny McBride', 'Scott Caan', 'Leem Lubany', 'Arian Moayed', 'Bruce Willis']",Aaron Yanes,Marcelo Zarvos,"['Shangri-La Entertainment', 'Covert Media', 'Venture Forth']",,,15000000.0,3400000.0,Failure,2015,,
Paranormal Activity: The Ghost Dimension,Gregory Plotkin,"['Jason Blum', 'Oren Peli']",John Rutland,United States,88.0,2015-10-23,Paramount Pictures,English,"['Jason Harry Pagan', 'Andrew Deutschman', 'Adam Robitel', 'Gavin Heffernan']","['Chris J. Murray', 'Brittany Shaw', 'Olivia Taylor Dudley', 'Dan Gill', 'Ivy George', 'Jessica Tyler Brown', 'Chloe Csengery', 'Don McManus', 'Hallie Foote']",Michel Aller,,"['Blumhouse Productions', 'Solana Films', 'Room 101, Inc.']","['Paranormal Activity', 'by ', 'Oren Peli']","['Brantley Aufill', 'Jason Harry Pagan', 'Andrew Deutschman']",10000000.0,78900000.0,Success,2015,,
Jem and the Holograms,Jon M. Chu,"['Jason Blum', 'Jon M. Chu', 'Scooter Braun', 'Brian Goldner', 'Stephen Davis', 'Bennett Schneir']",Alice Brooks,United States,118.0,2015-10-23,Universal Pictures,English,Ryan Landels,"['Aubrey Peeples', 'Stefanie Scott', 'Hayley Kiyoko', 'Aurora Perrineau', 'Ryan Guzman', 'Molly Ringwald', 'Juliette Lewis']","['Jillian Moul', 'Michael Trent']",Nathan Lanier,"['Allspark Pictures', 'Blumhouse Productions', 'Chu Studios', 'SB Projects']","['Jem', 'by ', 'Christy Marx']",,5000000.0,2300000.0,Failure,2015,,
The Last Witch Hunter,Breck Eisner,"['Mark Canton', 'Vin Diesel', 'Bernie Goldmann']",Dean Semler,United States,106.0,2015-10-13,Lionsgate,English,"['Cory Goodman', 'Matt Sazama Burk Sharpless']","['Vin Diesel', 'Elijah Wood', 'Rose Leslie', 'Julie Engelbrecht', 'Michael Caine']","['Dean Zimmerman', 'Chris Lebenzon']",Steve Jablonsky,"['Summit Entertainment', 'Mark Canton Productions', 'One Race Films', 'Goldmann Pictures']",,,71000000.0,146900000.0,Failure,2015,,
Bone Tomahawk,S. Craig Zahler,"['Jack Heller', 'Dallas Sonnier']",Benji Bakshi,United States,132.0,2015-10-01,RLJ Entertainment,English,S. Craig Zahler,"['Kurt Russell', 'Patrick Wilson', 'Matthew Fox', 'Lili Simmons', 'Richard Jenkins', 'Evan Jonigkeit', 'Kathryn Morris', 'Sid Haig', 'David Arquette', 'Fred Melamed']","[""Greg D'Auria"", 'Fred Raskin']","['Jeff Herriott', 'S. Craig Zahler']","['Caliber Media Company', 'The Fyzz Facility']",,,1800000.0,475846.0,Failure,2015,,
Scouts Guide to the Zombie Apocalypse,Christopher Landon,"['Todd Garner', 'Andy Fickman']",Brandon Trost,United States,93.0,2015-10-30,Paramount Pictures,English,"['Carrie Evans', 'Emi Mochizuki', 'Christopher Landon']","['Tye Sheridan', 'David Koechner']",Jim Page,Matthew Margeson,Broken Road Productions,,"['Carrie Evans', 'Emi Mochizuki', 'Lona Williams']",15000000.0,16100000.000000002,Failure,2015,,
Our Brand Is Crisis,David Gordon Green,"['Grant Heslov', 'George Clooney']",Tim Orr,United States,107.0,2015-09-11,Warner Bros. Pictures,English,Peter Straughan,"['Sandra Bullock', 'Billy Bob Thornton', 'Anthony Mackie', 'Joaquim de Almeida', 'Ann Dowd', 'Scoot McNairy', 'Zoe Kazan']",Colin Patton,David Wingo,"['Participant Media', 'RatPac-Dune Entertainment', 'Smokehouse Pictures', 'Fortis Films']","['Our Brand Is Crisis', 'by Rachel Boynton']",,28000000.0,8600000.0,Failure,2015,,
Freaks of Nature,Robbie Pickering,Matt Tolmach,Uta Briesewitz,United States,92.0,2015-10-30,Sony Pictures Releasing,English,Oren Uziel,"['Nicholas Braun', 'Mackenzie Davis', 'Josh Fadem', 'Joan Cusack', 'Bob Odenkirk', 'Patton Oswalt', 'Ed Westwick', 'Vanessa Hudgens', 'Denis Leary']",Craig Alpert,Fil Eisler,"['Columbia Pictures', 'LStar Capital']",,,33000000.0,70958.0,Failure,2015,,
Burnt,John Wells,"['Stacey Sher', 'Erwin Stoff', 'John Wells']",Adriano Goldman,United States,101.0,2015-10-22,The Weinstein Company,English,Steven Knight,"['Bradley Cooper', 'Sienna Miller', 'Omar Sy', 'Daniel Brühl', 'Riccardo Scamarcio', 'Sam Keeley', 'Alicia Vikander', 'Matthew Rhys', 'Lily James', 'Uma Thurman', 'Emma Thompson']",Nick Moore,Rob Simonsen,"['Shiny Penny Productions', '3 Arts Entertainment', 'Battle Mountain Films']",,Michael Kalesniko,20000000.0,36600000.0,Failure,2015,,
Spectre,Sam Mendes,"['Michael G. Wilson', 'Barbara Broccoli']",Hoyte van Hoytema,,148.0,2015-10-26,Sony Pictures Releasing,English,"['John Logan', 'Neal Purvis Robert Wade', 'Jez Butterworth']","['Daniel Craig', 'Christoph Waltz', 'Léa Seydoux', 'Ben Whishaw', 'Naomie Harris', 'Dave Bautista', 'Monica Bellucci', 'Ralph Fiennes']",Lee Smith,Thomas Newman,"['Eon Productions', 'Metro-Goldwyn-Mayer Pictures', 'Columbia Pictures', 'B24', 'Danjaq']","['James Bond', 'by ', 'Ian Fleming']","['John Logan', 'Neal Purvis', 'Robert Wade']",245000000.0,880700000.0,Success,2015,,
Spotlight,Tom McCarthy,"['Blye Pagon Faust', 'Steve Golin', 'Nicole Rocklin', 'Michael Sugar']",Masanobu Takayanagi,United States,129.0,2015-09-03,"['Open Road Films (United States)', 'Entertainment One Features (International)']",English,"['Josh Singer', 'Tom McCarthy']","['Mark Ruffalo', 'Michael Keaton', 'Rachel McAdams', 'Liev Schreiber', 'John Slattery', 'Stanley Tucci']",Tom McArdle,Howard Shore,"['Participant Media', 'First Look Media', 'Anonymous Content', 'Rocklin/Faust Productions', 'Spotlight Film']",,,20000000.0,98700000.0,Success,2015,,
The Peanuts Movie,Steve Martino,"['Craig Schulz', 'Bryan Schulz', 'Cornelius Uliano', 'Paul Feig', 'Michael J. Travers']",Renato Falcão,United States,88.0,2015-11-01,20th Century Fox,English,"['Craig Schulz', 'Bryan Schulz', 'Cornelius Uliano']","['Noah Schnapp', 'Hadley Belle Miller', 'Mariel Sheets', 'Alex Garfin', '', 'Troy ""Trombone Shorty"" Andrews', 'Kristin Chenoweth', 'Bill Melendez']",Randy Trager,Christophe Beck,"['Blue Sky Studios', '20th Century Fox Animation']","['Peanuts', 'by ', 'Charles M. Schulz']",,99000000.0,246200000.0,Success,2015,,
The 33,Patricia Riggen,"['Robert Katz', 'Edward McGurn', 'Mike Medavoy']",Checco Varese,,127.0,2015-08-06,"['Alcon Entertainment and Warner Bros. Pictures (North America and select international territories)', 'Fox International Productions 20th Century Fox (Latin America)', 'Good Universe (International)']",,"['Mikko Alanne', 'Craig Borten', 'Michael Thomas']","['Antonio Banderas', 'Rodrigo Santoro', 'Juliette Binoche', 'James Brolin', 'Bob Gunton', 'Gabriel Byrne', 'Lou Diamond Phillips', 'Jacob Vargas']",Michael Tronick,James Horner,Phoenix Pictures,"['Deep Down Dark', 'by ', 'Héctor Tobar']",José Rivera,26000000.0,28000000.0,Failure,2015,,
My All American,Angelo Pizzo,['Paul Schiff'],Frank G. DeMarco,United States,118.0,2015-11-13,Clarius Entertainment,English,['Angelo Pizzo'],"['Aaron Eckhart', 'Finn Wittrock', 'Robin Tunney', 'Sarah Bolger']",Dan Zimmerman,John Paesano,"['Anthem Productions', 'Paul Schiff Productions']","['Courage Beyond the Game: The Freddie Steinmark Story', 'by ', 'Jim Dent']",,20000000.0,2200000.0,Failure,2015,,
Love the Coopers,Jessie Nelson,"['Michael London', 'Jessie Nelson', 'Janice Williams']",Elliot Davis,United States,107.0,2015-11-04,['Lionsgate'],English,Steven Rogers,"['Alan Arkin', 'John Goodman', 'Ed Helms', 'Diane Keaton', 'Anthony Mackie', 'Amanda Seyfried', 'June Squibb', 'Marisa Tomei', 'Olivia Wilde']",Nancy Richardson,Nick Urata,"['Groundswell Productions', 'Imagine Entertainment', 'CBS Films']",,,17000000.0,42400000.0,Success,2015,,
By the Sea,Angelina Jolie Pitt,"['Angelina Jolie Pitt', 'Brad Pitt']",Christian Berger,United States,122.0,2015-11-05,Universal Pictures,,Angelina Jolie Pitt,"['Brad Pitt', 'Angelina Jolie Pitt', 'Mélanie Laurent', 'Niels Arestrup', 'Melvil Poupaud', 'Richard Bohringer']","['Martin Pensa', 'Patricia Rommel']",Gabriel Yared,"['Jolie Pas', 'Plan B Entertainment']",,,10000000.0,3300000.0,Failure,2015,,
Carol,Todd Haynes,"['Elizabeth Karlsen', 'Stephen Woolley', 'Christine Vachon']",Edward Lachman,,119.0,2015-05-17,"['StudioCanal (United Kingdom)', 'The Weinstein Company (United States)']",English,Phyllis Nagy,"['Cate Blanchett', 'Rooney Mara', 'Sarah Paulson', 'Jake Lacy', 'Kyle Chandler']",Affonso Gonçalves,Carter Burwell,"['Number 9 Films', 'Film4', 'Killer Films']","['The Price of Salt', 'by ', 'Patricia Highsmith']",,11800000.0,42500000.0,Success,2015,,
Legend,Brian Helgeland,"['Tim Bevan', 'Eric Fellner', 'Chris Clark', 'Quentin Curtis', 'Brian Oliver']",Dick Pope,,131.0,2015-09-09,"['StudioCanal (International)', 'Universal Pictures (North America)']",English,Brian Helgeland,"['Tom Hardy', 'Emily Browning', 'David Thewlis', 'Duffy', 'Christopher Eccleston', 'Chazz Palminteri']",Peter McNulty,Carter Burwell,"['Cross Creek Pictures', 'StudioCanal', 'Working Title Films', 'Anton Capital Entertainment']","[' The Profession of Violence', 'by ', 'John Pearson']",,25000000.0,43000000.0,Failure,2015,,
The Hunger Games: Mockingjay – Part 2,Francis Lawrence,"['Nina Jacobson', 'Jon Kilik']",Jo Willems,United States,137.0,2015-11-04,Lionsgate,English,"['Peter Craig', 'Danny Strong']","['Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth', 'Woody Harrelson', 'Elizabeth Banks', 'Julianne Moore', 'Philip Seymour Hoffman', 'Jeffrey Wright', 'Stanley Tucci', 'Donald Sutherland']","['Alan Edward Bell', 'Mark Yoshikawa']",James Newton Howard,"['Color Force', 'Lionsgate']","['Mockingjay', 'by Suzanne Collins']",,160000000.0,661400000.0,Success,2015,,
The Night Before,Jonathan Levine,"['Evan Goldberg', 'Seth Rogen', 'James Weaver']",Brandon Trost,United States,101.0,2015-11-16,Sony Pictures Releasing,English,"['Jonathan Levine', 'Kyle Hunter', 'Ariel Shaffir', 'Evan Goldberg']","['Joseph Gordon-Levitt', 'Seth Rogen', 'Anthony Mackie', 'Lizzy Caplan', 'Jillian Bell', 'Mindy Kaling', 'Michael Shannon']",Zene Baker,"['Marco Beltrami', 'Miles Hankins']","['Columbia Pictures', 'LStar Capital', 'Good Universe', 'Point Grey Pictures']",,Jonathan Levine,25000000.0,52400000.0,Failure,2015,,
Creed,Ryan Coogler,"['Irwin Winkler', 'Robert Chartoff', 'Charles Winkler', 'William Chartoff', 'David Winkler', 'Kevin King-Templeton', 'Sylvester Stallone']",Maryse Alberti,United States,133.0,2015-11-19,Warner Bros. Pictures,English,"['Ryan Coogler', 'Aaron Covington']","['Michael B. Jordan', 'Sylvester Stallone', 'Tessa Thompson', 'Phylicia Rashad', 'Anthony Bellew']","['Michael P. Shawver', 'Claudia Castello']",Ludwig Göransson,"['', 'New Line Cinema', 'Chartoff-Winkler Productions']","['Characters', 'by ', 'Sylvester Stallone']",Ryan Coogler,35000000.0,173600000.0,Success,2015,,
The Good Dinosaur,Peter Sohn,Denise Ream,"['Mahyar Abousaeedi (camera)', 'Sharon Calahan (lighting)']",United States,94.0,2015-11-10,"['Walt Disney Studios', 'Motion Pictures']",English,Meg LeFauve,"['Raymond Ochoa', 'Jack Bright', 'Sam Elliott', 'Anna Paquin', 'A. J. Buckley', 'Steve Zahn', 'Jeffrey Wright', 'Frances McDormand']",Stephen Schaffer,"['Mychael Danna', 'Jeff Danna']","['Walt Disney Pictures', 'Pixar Animation Studios']","['An original concept', 'by Bob Peterson']","['Peter Sohn', 'Erik Benson', 'Meg LeFauve', 'Kelsey Mann', 'Bob Peterson']",175000000.0,332200000.0,Failure,2015,,
Victor Frankenstein,Paul McGuigan,John Davis,Fabian Wagner,United States,110.0,2015-11-11,20th Century Fox,English,Max Landis,"['Daniel Radcliffe', 'James McAvoy', 'Jessica Brown Findlay', 'Andrew Scott', 'Charles Dance']","['Andrew Hulme', 'Charlie Phillips']",Craig Armstrong,"['Davis Entertainment Company', 'TSG Entertainment', 'Moving Picture Company']","['Frankenstein', '1818 novel', 'by ', 'Mary Shelley']",,40000000.0,34200000.0,Failure,2015,,
Krampus,Michael Dougherty,"['Thomas Tull', 'Jon Jashni', 'Alex Garcia', 'Michael Dougherty']",Jules O'Loughlin,,97.0,2015-11-30,Universal Pictures,English,"['Todd Casey', 'Michael Dougherty', 'Zach Shields']","['Adam Scott', 'Toni Collette', 'David Koechner', 'Allison Tolman', 'Conchata Ferrell', 'Emjay Anthony', 'Stefania LaVie Owen', 'Krista Stadler']",John Axelrad,Douglas Pipes,"['Legendary Pictures', 'Zam Pictures']",,,15000000.0,61500000.0,Success,2015,,
In the Heart of the Sea,Ron Howard,"['Brian Grazer', 'Ron Howard', 'Will Ward', 'Joe Roth', 'Paula Weinstein']",Anthony Dod Mantle,,122.0,2015-12-07,Warner Bros. Pictures,,Charles Leavitt,"['Chris Hemsworth', 'Benjamin Walker', 'Cillian Murphy', 'Tom Holland', 'Ben Whishaw', 'Brendan Gleeson']","['Dan Hanley', 'Mike Hill']",Roque Baños,"['Village Roadshow Pictures', 'Roth Films', 'Imagine Entertainment', 'RatPac-Dune Entertainment', 'COTT Productions', 'Enelmar Productions A.I.E.', 'Spring Creek Pictures', 'Kia Jam']","['In the Heart of the Sea', 'by ', 'Nathaniel Philbrick']","['Charles Leavitt', 'Rick Jaffa Amanda Silver']",100000000.0,93900000.0,Failure,2015,,
The Big Short,Adam McKay,"['Brad Pitt', 'Dede Gardner', 'Jeremy Kleiner', 'Arnon Milchan']",Barry Ackroyd,United States,130.0,2015-11-12,Paramount Pictures,English,"['Charles Randolph', 'Adam McKay']","['Christian Bale', 'Steve Carell', 'Ryan Gosling', 'Brad Pitt']",Hank Corwin,Nicholas Britell,"['Regency Enterprises', 'Plan B Entertainment']","['The Big Short', 'by ', 'Michael Lewis']",,50000000.0,133400000.0,Success,2015,,
Alvin and the Chipmunks: The Road Chip,Walt Becker,"['Janice Karman', 'Ross Bagdasarian Jr.']",Peter Lyons Collister,United States,92.0,2015-12-18,20th Century Fox,English,"['Randi Mayem Singer', 'Adam Sztykiel']","['Jason Lee', 'Tony Hale', 'Kimberly Williams-Paisley', 'Josh Green', 'Justin Long', 'Matthew Gray Gubler', 'Jesse McCartney', 'Kaley Cuoco', 'Anna Faris', 'Christina Applegate']",Ryan Folsey,Mark Mothersbaugh,"['Fox 2000 Pictures', 'Regency Enterprises', 'TSG Entertainment', 'Bagdasarian Productions']","['Alvin and the Chipmunks by Ross Bagdasarian Sr.', 'The Chipettes by Janice Karman']",,90000000.0,234800000.0,Success,2015,,
Sisters,Jason Moore,"['Tina Fey', 'Jay Roach', 'John Lyons']",Barry Peterson,United States,118.0,2015-12-09,Universal Pictures,English,Paula Pell,"['Tina Fey', 'Amy Poehler', 'Maya Rudolph', 'Ike Barinholtz', 'James Brolin', 'John Cena', 'John Leguizamo', 'Dianne Wiest']",Lee Haxall,Christophe Beck,"['Little Stranger', 'Everyman Pictures']",,,33000000.0,105000000.0,Success,2015,,
Star Wars: The Force Awakens,J. J. Abrams,"['Kathleen Kennedy', 'J. J. Abrams', 'Bryan Burk']",Dan Mindel,United States,138.0,2015-12-14,"['Walt Disney Studios', 'Motion Pictures']",English,"['Lawrence Kasdan', 'J. J. Abrams', 'Michael Arndt']","['Harrison Ford', 'Mark Hamill', 'Carrie Fisher', 'Adam Driver', 'Daisy Ridley', 'John Boyega', 'Oscar Isaac', ""Lupita Nyong'o"", 'Andy Serkis', 'Domhnall Gleeson', 'Anthony Daniels', 'Peter Mayhew', 'Max von Sydow']","['Mary Jo Markey', 'Maryann Brandon']",John Williams,"['Lucasfilm Ltd.', 'Bad Robot']","['Characters', 'by ', 'George Lucas']",,447000000.0,2071000000.0,Success,2015,,
Concussion,Peter Landesman,"['Ridley Scott', 'Giannina Facio', 'David Wolthoff', 'Larry Shuman', 'Elizabeth Cantillon']",Salvatore Totino,United States,122.0,2015-11-10,Sony Pictures Releasing,English,Peter Landesman,"['Will Smith', 'Alec Baldwin', 'Gugu Mbatha-Raw', 'Arliss Howard', 'Paul Reiser', 'Luke Wilson', '', 'David Morse', 'Albert Brooks']",William Goldenberg,James Newton Howard,"['Columbia Pictures', 'LStar Capital', 'Village Roadshow Pictures', 'Scott Free Productions']","['""Game Brain""', 'by ', 'Jeanne Marie Laskas']",,35000000.0,48600000.0,Failure,2015,,
Daddy's Home,Sean Anders,"['Will Ferrell', 'Adam McKay', 'Chris Henchy', 'John Morris']",Julio Macat,United States,96.0,2015-12-09,Paramount Pictures,English,"['Brian Burns', 'Sean Anders', 'John Morris']","['Will Ferrell', 'Mark Wahlberg', 'Linda Cardellini']","['Eric Kissack', 'Brad Wilhite']",Michael Andrews,"['Red Granite Pictures', 'Gary Sanchez Productions']",,Brian Burns,50000000.0,242800000.0,Success,2015,,
Joy,David O. Russell,"['John Davis', 'Megan Ellison', 'Jonathan Gordon', 'Ken Mok', 'David O. Russell']",Linus Sandgren,United States,124.0,2015-12-13,20th Century Fox,English,David O. Russell,"['Jennifer Lawrence', 'Robert De Niro', 'Édgar Ramírez', 'Diane Ladd', 'Virginia Madsen', 'Isabella Rossellini', 'Bradley Cooper']","['Alan Baumgarten', 'Jay Cassidy', 'Tom Cross', 'Christopher Tellefsen']","['West Dylan Thordson', 'David Campbell']","['Fox 2000 Pictures', 'Davis Entertainment Company', 'Annapurna Pictures', 'TSG Entertainment']",,"['Annie Mumolo', 'David O. Russell']",60000000.0,101100000.0,Failure,2015,,
Point Break,Ericson Core,"['Andrew A. Kosove', 'Broderick Johnson', 'John Baldecchi', 'David Valdes', 'Christopher Taylor', 'Kurt Wimmer']",Ericson Core,,114.0,2015-12-01,"['Warner Bros. Pictures (North America, Latin America, United Kingdom, Japan, Russia and Ukraine)', 'Concorde Filmverleih (Germany)', 'China Film Group Corporation (China)', 'Summit Entertainment (International)']",English,Kurt Wimmer,"['Édgar Ramírez', 'Luke Bracey', 'Teresa Palmer', 'Delroy Lindo', 'Ray Winstone']","['Thom Noble', 'Gerald B. Greenberg', 'John Duffy']",Tom Holkenborg,"['Alcon Entertainment', 'Taylor-Baldecchi-Wimmer Productions', 'DMG Entertainment', 'Studio Babelsberg']","['Rick King', 'W. Peter Iliff']","['Rick King', 'W. Peter Iliff', 'Kurt Wimmer']",105000000.0,133700000.0,Failure,2015,,
The Hateful Eight,Quentin Tarantino,"['Richard N. Gladstein', 'Stacey Sher', 'Shannon McIntosh']",Robert Richardson,United States,187.0,2015-12-07,The Weinstein Company,English,Quentin Tarantino,"['Samuel L. Jackson', 'Kurt Russell', 'Jennifer Jason Leigh', 'Walton Goggins', 'Demián Bichir', 'Tim Roth', 'Michael Madsen', 'Bruce Dern', 'James Parks', 'Channing Tatum']",Fred Raskin,Ennio Morricone,"['The Weinstein Company', 'Shiny Penny', 'FilmColony', 'Double Feature Films', 'Visiona Romantica, Inc.']",,,44000000.0,156500000.0,Success,2015,,
The Revenant,Alejandro G. Iñárritu,"['Arnon Milchan', 'Steve Golin', 'Alejandro G. Iñárritu', 'Mary Parent', 'Keith Redmon', 'James W. Skotchdopole']",Emmanuel Lubezki,United States,156.0,2015-12-16,20th Century Fox,English,"['Mark L. Smith', 'Alejandro G. Iñárritu']","['Leonardo DiCaprio', 'Tom Hardy']",Stephen Mirrione,"['Ryuichi Sakamoto', 'Alva Noto']","['Regency Enterprises', 'RatPac Entertainment', 'New Regency', 'Anonymous Content', 'M Productions', 'Appian Way Productions']","['The Revenant', 'by ', 'Michael Punke']",,135000000.0,533000000.0,Success,2015,,
Anomalisa,"['Charlie Kaufman', 'Duke Johnson']","['Rosa Tran', 'Duke Johnson', 'Charlie Kaufman', 'Dino Stamatopoulos']",Joe Passarelli,United States,90.0,2015-09-04,Paramount Pictures,English,Charlie Kaufman,"['David Thewlis', 'Jennifer Jason Leigh', 'Tom Noonan']",Garret Elkins,Carter Burwell,"['Paramount Animation', 'Starburns Industries']","['Anomalisa', 'by Charlie Kaufman']",,8000000.0,5700000.0,Failure,2015,,
The Forest,Jason Zada,"['Tory Metzger', 'David S. Goyer', 'David Linde']",Mattias Troelstrup,United States,93.0,2016-01-08,"['Gramercy Pictures', 'Focus Features']",English,"['Ben Ketai', 'Sarah Cornwell', 'Nick Antosca']","['Natalie Dormer', 'Taylor Kinney', 'Yukiyoshi Ozawa', 'Eoin Macken']",Jim Flynn,Bear McCreary,"['AI-Film', 'Lava Bear Films']",,,10000000.0,37600000.0,Success,2016,,
Ride Along 2,Tim Story,"['Will Packer', 'Ice Cube', 'Matt Alvarez', 'Larry Brezner']",Mitchell Amundsen,United States,101.0,2016-01-06,Universal Pictures,English,"['Phil Hay', 'Matt Manfredi']","['Ice Cube', 'Kevin Hart', 'Ken Jeong', 'Benjamin Bratt', 'Olivia Munn', 'Bruce McGill', 'Tika Sumpter']",Peter S. Elliot,Christopher Lennertz,"['Will Packer Productions', 'Cube Vision']","['Characters', 'by ', 'Greg Coolidge']",,40000000.0,124600000.0,Success,2016,,
13 Hours: The Secret Soldiers of Benghazi,Michael Bay,"['Michael Bay', 'Erwin Stoff']",Dion Beebe,United States,144.0,2016-01-12,Paramount Pictures,English,Chuck Hogan,"['James Badge Dale', 'John Krasinski', 'Max Martini']","['Pietro Scalia', 'Michael McCusker', 'Calvin Wimmer']",Lorne Balfe,"['3 Arts Entertainment', 'Bay Films']","['13 Hours', 'by ', 'Mitchell Zuckoff']",,50000000.0,69400000.0,Failure,2016,,
Norm of the North,Trevor Wall,"['Nicolas Atlan', 'Ken Katsumoto', 'Steve Rosen', 'Liz Young', 'Mike Young']",,United States,90.0,2016-01-15,Lionsgate,English,"['Daniel R. Altiere', 'Steven M. Altiere', 'Malcolm T. Goldman']","['Rob Schneider', 'Heather Graham', 'Ken Jeong', 'Colm Meaney', 'Loretta Devine', 'Gabriel Iglesias', 'Michael McElhatton', 'Bill Nighy']",Richard Finn,Stephen McKeon,"['Lionsgate', 'Splash Entertainment', 'Assemblage Entertainment', 'Telegael']",,,18000000.0,30500000.0,Failure,2016,,
Dirty Grandpa,Dan Mazer,"['Barry Josephson', 'Bill Block', 'Michael Simkin', 'Jason Barrett']",Eric Alan Edwards,United States,102.0,2016-01-22,Lionsgate,English,John M. Phillips,"['Robert De Niro', 'Zac Efron', 'Aubrey Plaza', 'Zoey Deutch', 'Julianne Hough', 'Dermot Mulroney']",Anne McCabe,Michael Andrews,"['BillBlock Media', 'Josephson Entertainment', 'QED International']",,,11500000.0,105100000.0,Success,2016,,
The 5th Wave,J Blakeson,"['Tobey Maguire', 'Graham King', 'Matthew Plouffe', 'Lynn Harris']",Enrique Chediak,United States,112.0,2016-01-22,Sony Pictures Releasing,English,"['Susannah Grant', 'Akiva Goldsman', 'Jeff Pinkner']","['Chloë Grace Moretz', 'Nick Robinson', 'Ron Livingston', 'Maggie Siff', 'Alex Roe', 'Maria Bello', 'Maika Monroe', 'Liev Schreiber']",Paul Rubell,Henry Jackman,"['Columbia Pictures', 'LStar Capital', 'GK Films', 'Material Pictures', 'Living Films']","['The 5th Wave', 'by ', 'Rick Yancey']",,38000000.0,109900000.0,Success,2016,,
