Title,Directed by,Produced by,Cinematography,Country,Running Time (int),Release Date (datetime),Distributed by,Language,Written by,Starring,Edited by,Music by,Production companies,Based on,Story by,Budget (float),Box Office (float),Box Office Status
I Still Believe,Erwin brothers,"['Kevin Downes', 'Jon Erwin', 'Andrew Erwin']",Kristopher Kimlin,United States,116,2020-03-07,Lionsgate,English,"['Jon Erwin', 'Jon Gunn', 'Madeline Carroll']","['KJ Apa', 'Britt Robertson', 'Melissa Roxburgh', 'Nathan Parsons', 'Shania Twain', 'Gary Sinise']","['Parker Adams', 'Ben Smallbone']",John Debney,"['Kingdom Story Company', 'Kevin Downes Productions', 'Erwin Brothers Entertainment']","['I Still Believe', 'by ', 'Jeremy Camp', ' and Phil Newman']",,12000000.0,16399999.999999998,Failure
Lost Girls,Liz Garbus,"['Anne Carey', 'Kevin McCormick']",Igor Martinovic,United States,95,2020-01-28,Netflix,English,Michael Werwie,"['Amy Ryan', 'Thomasin McKenzie', 'Lola Kirke', 'Oona Laurence', 'Dean Winters', 'Miriam Shor', 'Reed Birney', 'Kevin Corrigan', 'Gabriel Byrne']",Camilla Toniolo,Anne Nikitin,"['Archer Gray', 'Langley Park Productions']","['Lost Girls: An Unsolved American Mystery', 'by ', 'Robert Kolker']",,,,
Stargirl,Julia Hart,"['Kristin Hahn', 'Ellen Goldsmith-Vein', 'Lee Stollman', 'Jordan Horowitz']",Bryce Fortner,United States,107,2020-03-13,Disney+,English,"['Kristin Hahn', 'Julia Hart', 'Jordan Horowitz']","['Grace VanderWaal', 'Graham Verchere']","['Shayar Bansali', 'Tracey Wadmore-Smith']",Rob Simonsen,"['Walt Disney Pictures', 'Gotham Group', 'Hahnscape Entertainment']","['Stargirl', 'by ', 'Jerry Spinelli']",,,,
The Roads Not Taken,Sally Potter,Christopher Sheppard,Robbie Ryan,,85,2020-02-26,"['Bleecker Street (United States)', 'Focus Features Universal Pictures (Select territories)']",English,Sally Potter,"['Javier Bardem', 'Elle Fanning', 'Laura Linney', 'Salma Hayek']","['Sally Potter', 'Jason Rayton', 'Emilie Orsini']",Sally Potter,"['BBC Films', 'HanWay Films', 'BFI', 'Ingenious Media', 'Chimney Pot', 'Sverige AB', 'Adventure Pictures', 'Film i Väst', 'Washington Square Films']",,,,105439.0,
Never Rarely Sometimes Always,Eliza Hittman,"['Adele Romanski', 'Sara Murphy']",Hélène Louvart,,101,2020-01-24,"['Focus Features (United States)', 'Universal Pictures', ' (international)']",English,Eliza Hittman,"['Sidney Flanigan', 'Talia Ryder', 'Théodore Pellerin', 'Ryan Eggold', 'Sharon Van Etten']",Scott Cummings,Julia Holter,"['Focus Features', 'BBC Films', 'Pastel Productions', 'Tango Entertainment', 'Mutressa Movies', 'Cinereach']",,,5000000.0,891527.0,Failure
Big Time Adolescence,Jason Orley,"['Mason Novick', 'Mickey Liddell', 'Pete Shilaimon', 'Will Phelps', 'Glen Trotiner', 'Jeremy Garelick']",Andrew Huebscher,United States,90,2019-01-28,"['Hulu', 'Neon']",English,Jason Orley,"['Pete Davidson', 'Griffin Gluck', 'Emily Arlook', 'Colson Baker', 'Sydney Sweeney', 'Jon Cryer']",Waldemar Centeno,"['Zachary Dawes', 'Nick Sena']","['American High', 'LD Entertainment', 'MXN Entertainment']",,,,,
Lost Transmissions,Katharine O'Brien,"['Filip Jan Rymsza', 'Al Di', 'Olga Kagan', 'Tory Lenosky']",Arnau Valls Colomer,United States,105,2019-04-28,Gravitas Ventures,English,Katharine O'Brien,"['Simon Pegg', 'Juno Temple', 'Alexandra Daddario']",Yannis Chalkiadakis,Hugo Nicolson,"['Pulse Films', 'Royal Road Entertainment', 'Underlying Tension']",,,,,
Resistance,Jonathan Jakubowicz,"['Claudine Jakubowicz', 'Dan Maag', 'Thorsten Schumacher', 'Carlos García de Paredes', 'Patrick Zorer', 'Jonathan Jakubowicz']",M.I. Littin-Menz,,120,2020-03-08,"['IFC Films (United States)', 'Warner Bros. Pictures (Germany)']",English,Jonathan Jakubowicz,"['Jesse Eisenberg', 'Clémence Poésy', 'Matthias Schweighöfer', 'Félix Moati', 'Géza Röhrig', 'Karl Markovics', 'Vica Kerekes', 'Bella Ramsey', 'Ed Harris', 'Édgar Ramírez', 'Alicia von Rittberg']",Alexander Berner,Angelo Milli,"['Panteleon Films', 'Epicentral Studios', 'Rocket Science', 'Vertical Media', 'Ingenious Media', 'Neptune Features', 'Bliss Media']",,,,449753.0,
Uncorked,Prentice Penny,"['Prentice Penny', 'Jill Ahrens', 'Ryan Ahrens', 'Ben Renzo', 'Datari Turner', 'Chris Pollack', 'Jason Michael Berman']",Elliot Davis,United States,104,2020-03-27,Netflix,English,Prentice Penny,"['Mamoudou Athie', 'Courtney B. Vance', 'Niecy Nash', 'Matt McGorry', 'Sasha Compère', 'Gil Ozeri', 'Kelly Jenrette', 'Bernard David Jones', 'Meera Rohit Kumbhani']",Sandra Montiel,Hit-Boy,"['Mandalay Pictures', 'Miles Media', 'Datari Turner Productions', 'Argent Pictures', 'A Penny For Your Thoughts Entertainment', 'Forge Media']",,,,,
Vivarium,Lorcan Finnegan,"['John McDonnell', 'Brendan McCarthy']",MacGregor,,97,2019-05-18,"['Vertigo Releasing and Wildcard Distribution (Ireland)', 'Angel Films (Denmark)']",English,Garret Shanley,"['Imogen Poots', 'Jesse Eisenberg']",Tony Cranstoun,Kristian Eidnes Andersen,"['XYZ Films', 'Fantastic Films', 'Frakas Productions', 'PingPong Film', 'VOO', 'BeTV']",,"['Garret Shanley', 'Lorcan Finnegan']",,434030.0,
Coffee & Kareem,Michael Dowse,"['Mike Falbo', 'Ed Helms']",Brian Burgoyne,United States,88,2020-04-03,Netflix,English,Shane Mack,"['Ed Helms', 'Terrence Little Gardenhigh', 'Betty Gilpin', 'RonReaco Lee', 'Andrew Bachelor', 'David Alan Grier', 'Taraji P. Henson']",Daniel Gabbe,Joseph Trapanese,['Pacific Electric Picture Co.'],,,,,
Trolls World Tour,Walt Dohrn,Gina Shay,,United States,91,2020-04-10,Universal Pictures,English,"['Jonathan Aibel Glenn Berger', 'Maya Forbes', 'Wallace Wolodarsky', 'Elizabeth Tippet']","['Anna Kendrick', 'Justin Timberlake', 'Rachel Bloom', 'James Corden', 'Ron Funches', 'Kelly Clarkson', 'Anderson .Paak', 'Sam Rockwell', 'George Clinton', 'Mary J. Blige']",Nick Fletcher,Theodore Shapiro,DreamWorks Animation,"['Good Luck Trolls', 'by ', 'Thomas Dam']","['Jonathan Aibel', 'Glenn Berger']",90000000.0,48000000.0,Failure
Love Wedding Repeat,Dean Craig,"['Piers Tempest', 'Guglielmo Marchetti']",Hubert Taczanowski,,100,2020-04-10,Netflix,English,Dean Craig,"['Sam Claflin', 'Olivia Munn', 'Eleanor Tomlinson', 'Joel Fry', 'Tim Key', 'Aisling Bea', 'Jack Farthing', 'Allan Mustafa', 'Freida Pinto']",Christian Sandino-Taylor,,"['Notorious Pictures', 'Tempo Productions']","['Plan de Table', 'by Francis Nief and Christelle Raynal']",,,,
The Main Event,Jay Karas,Richard Lowell,Karsten Gopinath,United States,101,2020-04-10,Netflix,English,"['Larry Postel', 'Jim Mahoney', 'Zach Lewis', 'Peter Hoare']","['Seth Carr', 'Tichina Arnold', 'Ken Marino', 'Aryan Simhadri', 'Momona Tamada', 'Glen Gordon', 'Keith Lee', 'Babatunde Aiyegbusi', 'Josh Zaharia', 'Dallas Young', 'Bodhi Sabongui', 'Renee Paquette', 'Matt Polinsky', 'Kofi Kingston', 'Stephen Farrelly', 'Mike ""The Miz"" Mizanin', 'Adam Pally']",Dan Schalk,Rupert Parkes,WWE Studios,,Larry Postel,,,
We Summon the Darkness,Marc Meyers,"['Mark Lane', 'Robert Jones', 'James Harris', 'Kyle Tekiela', 'Jarod Einsohn', 'Christian Armogida', 'Alexandra Daddario', 'Thomas E. van Dell']",Tarin Anderson,United States,91,2019-02-28,Saban Films,English,Alan Trezza,"['Alexandra Daddario', 'Keean Johnson', 'Maddie Hasson', 'Amy Forsyth', 'Logan Miller', 'Austin Swift', 'Johnny Knoxville']","['Joe Murphy', 'Jamie Kirkpatrick']",Timothy Williams,"['The Fyzz Facility', 'Nightshade Entertainment', 'Common Enemy', 'Highland Film Group']",,,,168473.0,
The Lost Husband,Vicky Wight,"['Leslie Bibb', 'Bridget Stokes', 'Vicky Wight']",Aaron Kovalchik,United States,109,2020-04-10,"['Quiver Distribution', 'Redbox Entertainment']",English,Vicky Wight,"['Leslie Bibb', 'Josh Duhamel']",Suzanne Spangler,Sherri Chung,Six Foot Pictures,"['The Lost Husband', 'by ', 'Katherine Center']",,,,
Corona Zombies,Charles Band,Charles Band,,United States,61,2020-04-10,Full Moon Features,English,"['Kent Roudebush', 'Silvia St. Croix']","['Cody Renee Cameron', 'Russell Coker', 'Robin Sydney']",,,Full Moon Features,,,,,
Sergio,Greg Barker,"['Wagner Moura', 'Brent Travers', 'Daniel Dreifuss']",Adrian Teijido,United States,118,2020-01-28,Netflix,English,Craig Borten,"['Wagner Moura', 'Ana de Armas', 'Garret Dillahunt', 'Clemens Schick', 'Will Dalton', 'Bradley Whitford', ""Brían F. O'Byrne""]",Claudia Castello,Fernando Velázquez,"['Black Rabbit Media', 'Anima Pictures', 'Itapoan']",,,,,
The Willoughbys,Kris Pearn,"['Brenda Gilbert', 'Luke Carroll']",Sebastian Brodin,,92,2020-04-22,Netflix,English,"['Kris Pearn', 'Mark Stanleigh']","['Will Forte', 'Maya Rudolph', 'Alessia Cara', 'Terry Crews', 'Martin Short', 'Jane Krakowski', 'Seán Cullen', 'Ricky Gervais']","['Fiona Toth', 'Ken Schretzmann']",Mark Mothersbaugh,"['Netflix Animation', 'Bron Studios', 'Creative Wealth Media']","['The Willoughbys', 'by ', 'Lois Lowry']",Kris Pearn,,,
Extraction,Sam Hargrave,"['Joe Russo', 'Anthony Russo', 'Mike Larocca', 'Chris Hemsworth', 'Eric Gitter', 'Peter Schwern']",Newton Thomas Sigel,United States,117,2020-04-24,Netflix,,Joe Russo,"['Chris Hemsworth', 'Rudhraksh Jaiswal', 'Randeep Hooda', 'Priyanshu Painyuli', 'Golshifteh Farahani', 'Pankaj Tripathi', 'David Harbour']","['Peter B. Ellis', 'Ruthie Aslan']","['Henry Jackman', 'Alex Belcher']","['AGBO', 'Thematic Entertainment', 'India Take One Productions', 'T.G.I.M. Films']","['Ciudad', 'by Ande Parks, Joe Russo, Anthony Russo']","['Ande Parks', 'Joe Russo', 'Anthony Russo']",65000000.0,,
Braking for Whales,Sean McEwen,"['Sean McEwen', 'Tammin Sursok', 'Cassidy Lunnen']",Justin Henning,United States,103,2019-09-20,Gravitas Ventures,English,"['Sean McEwen', 'Tammin Sursok']","['Tammin Sursok', 'Tom Felton']",Andrew S. Eisen,Jason Soudah,"['Narrator Entertainment', 'Charlie Baby Productions']",,,,,
Bad Education,Cory Finley,"['Fred Berger', 'Brian Kavanaugh-Jones', 'Julia Lebedev', 'Mike Makowsky', 'Oren Moverman', 'Eddie Vaisman']",Lyle Vincent,United States,108,2019-09-08,Warner Bros. Television Distribution,English,Mike Makowsky,"['Hugh Jackman', 'Allison Janney', 'Geraldine Viswanathan', 'Alex Wolff', 'Rafael Casal', 'Stephen Spinella', 'Annaleigh Ashford', 'Ray Romano']",Louise Ford,Michael Abels,"['HBO Films', 'Automatik', 'Sight Unseen', 'Slater Hall']","['""The Bad Superintendent""', 'by ', 'Robert Kolker']",,,,
Dangerous Lies,Michael Scott,"['Margaret H. Huddelston', 'Stephanie Slack', 'Michael Scott', 'Harvey Kahn', 'David Golden', 'Bianca Versteego']",Ronald Richard,United States,96,2020-04-30,Netflix,English,David Golden,"['Camila Mendes', 'Jessie T. Usher', 'Jamie Chung', 'Cam Gigandet', 'Sasha Alexander', 'Elliott Gould']",Alison Grace,James Jandrisch,['Off Camera Entertainment'],,,,,
All Day and a Night,Joe Robert Cole,"['Nina Jacobson', 'Brad Simpson', 'Jared Ian Goldman']",Jessica Lee Gagné,United States,121,2020-05-01,Netflix,English,Joe Robert Cole,"['Ashton Sanders', 'Jeffrey Wright', 'Regina Taylor', 'Yahya Abdul-Mateen II']",Mako Kamitsuna,Michael Abels,"['Color Force', 'Mighty Engine']",,,,,
The Wretched,The Pierce Brothers,"['Chang Tseng', 'Ed Polgardy', 'Brett Pierce', 'Drew Pierce', 'Travis Cultreri']",Conor Murphy,United States,96,2019-07-19,IFC Midnight,English,The Pierce Brothers,"['John-Paul Howard', 'Piper Curda', 'Zarah Mahler', 'Kevin Bigley', 'Gabriela Quezada Bloomgarden', 'Richard Ellis', 'Blane Crockarell', 'Jamison Jones', 'Azie Tesfai']",Terry Yates,Devin Burrows,Little Runway,,,66000.0,4400000.0,Success
The Half of It,Alice Wu,"['Anthony Bregman', 'M. Blair Breard', 'Alice Wu']",Greta Zozula,United States,104,2020-05-01,Netflix,English,Alice Wu,"['Leah Lewis', 'Daniel Diemer', 'Alexxis Lemire', 'Enrique Murciano', 'Wolfgang Novogratz', 'Catherine Curtin', 'Becky Ann Baker', 'Collin Chou']","['Ian Blume', 'Lee Percy']",Anton Sanko,Likely Story,,,,,
Arkansas,Clark Duke,"['Clark Duke', 'Patrick Hibler', 'Jeff Rice', 'Martin Sprock', 'Ryan R. Johnson']",Steven Meizler,United States,116,2020-05-05,Lionsgate,English,"['Clark Duke', 'Andrew Boonkrong']","['Liam Hemsworth', 'Clark Duke', 'Michael Kenneth Williams', 'Vivica A. Fox', 'Eden Brolin', 'Chandler Duke', 'John Malkovich', 'Vince Vaughn']",Patrick J. Don Vito,The Flaming Lips Alexander Taylor Matthew James,"['Hercules Film Fund', 'Rhea Films', 'Storyboard Media', 'Sprockfeller Pictures', 'Don Kee Productions', 'Media Finance Capital']","['Arkansas', 'by ', 'John Brandon']",,,,
Valley Girl,Rachel Lee Goldenberg,"['Matt Smith', 'Steven J. Wolfe']",Adam Silver,United States,102,2020-05-08,United Artists Releasing,English,Amy Talkington,"['Jessica Rothe', 'Josh Whitehouse', 'Logan Paul', 'Judy Greer', 'Alicia Silverstone']",Julia Wong,Roger Neill,"['Orion Classics', 'Metro-Goldwyn-Mayer Pictures', 'Sneak Preview Entertainment']","['Wayne Crawford', 'Andrew Lane']","['Wayne Crawford', 'Andrew Lane']",,7671.0,
Capone,Josh Trank,"['Russell Ackerman', 'John Schoenfelder', 'Lawrence Bender', 'Aaron L. Gilbert']",Peter Deming,United States,104,2020-05-12,"['Vertical Entertainment', 'Redbox Entertainment']",English,Josh Trank,"['Tom Hardy', 'Linda Cardellini', 'Jack Lowden', 'Noel Fisher', 'Kyle MacLachlan', 'Matt Dillon']",Josh Trank,El-P,"['Bron Studios', 'Lawrence Bender Productions', 'Addictive Pictures', 'Endeavor Content', 'AI Film Entertainment', 'Creative Wealth Media']",,,20600000.0,858281.0,Failure
The Wrong Missy,Tyler Spindel,"['Kevin Grady', 'Allen Covert', 'Judit Maull']",Theo van de Sande,United States,90,2020-05-13,Netflix,English,"['Chris Pappas', 'Kevin Barnett']","['David Spade', 'Lauren Lapkus', 'Nick Swardson', 'Geoff Pierson', 'Jackie Sandler', 'Sarah Chalke', 'Rob Schneider', 'Chris Witaske', 'Roman Reigns', 'Molly Sims']","['Brian Robinson', 'J.J. Titone']",Mateo Messina,Happy Madison Productions,,,,,
Scoob!,Tony Cervone,"['Pam Coats', 'Allison Abbate']",,United States,94,2020-05-15,Warner Bros. Pictures,English,"['Adam Sztykiel', 'Jack Donaldson', 'Derek Elliott', 'Matt Lieberman']","['Will Forte', 'Mark Wahlberg', 'Jason Isaacs', 'Gina Rodriguez', 'Zac Efron', 'Amanda Seyfried', 'Kiersey Clemons', 'Ken Jeong', 'Tracy Morgan', 'Simon Cowell', 'Frank Welker']","['Ryan Folsey', 'Vanara Taing']",Tom Holkenborg,"['Warner Animation Group', 'Atlas Entertainment', '1492 Pictures']",['Characters by Hanna-Barbera Productions'],"['Matt Lieberman', 'Eyal Podell', 'Jonathon E. Stewart']",90000000.0,28500000.0,Failure
Proximity,Eric Demeusy,"['Eric Demeusy', 'Kyle McIntyre', 'Andrea Dondanville']",Jason Mitcheltree,United States,120,2020-05-15,Shout! Studios,English,Eric Demeusy,"['Ryan Masson', 'Highdee Kuan', 'Christian Prentice', 'Shaw Jones']","['Eric Demeusy', 'Ivan Ortega', 'Simon Carmody']",Jermaine Stegall,Demeusy Pictures,,"['Eric Demeusy', 'Jason Mitcheltree']",,,
Blood and Money,John Barr,Suza Horvat,John Barr,United States,89,2020-05-15,Screen Media Films,English,"['John Barr', 'Mike McGrale', 'Alan Petherick']",Tom Berenger,Roger Cropley,Zak McNeil,Allagash,,,,,
Body Cam,Malik Vitthal,Matt Kaplan,Pedro Luque,United States,96,2020-05-19,Paramount Pictures,English,"['Nicholas McCarthy', 'Richmond Riedel']","['Mary J. Blige', 'Nat Wolff', 'David Zayas', 'David Warshofsky', 'Demetrius Grosse', 'Anika Noni Rose']",Ken Blackwell,Joseph Bishara,"['Ace Entertainment', 'Paramount Players', 'BET Films']",,Richmond Riedel,9600000.0,,
The Lovebirds,Michael Showalter,"['Tom Lassally', 'Oly Obst', 'Martin Gero', 'Todd Schulman', 'Jordana Mollick', 'Issa Rae']",Brian Burgoyne,United States,87,2020-05-22,Netflix,English,"['Aaron Abrams', 'Brendan Gall']","['Kumail Nanjiani', 'Issa Rae', 'Paul Sparks', 'Anna Camp', 'Kyle Bornheimer']","['Robert Nassau', 'Vince Filippone']",Michael Andrews,"['Paramount Pictures', 'MRC', '3 Arts Entertainment', ""Quinn's House""]",,"['Aaron Abrams', 'Brendan Gall', 'Martin Gero']",16000000.0,,
Inheritance,Vaughn Stein,"['Richard B. Lewis', 'David Wulf', 'Arianne Fraser']",Michael Merriman,United States,111,2020-05-22,"['Vertical Entertainment', 'DirecTV Cinema']",English,Matthew Kennedy,"['Lily Collins', 'Simon Pegg', 'Connie Nielsen', 'Chace Crawford', 'Patrick Warburton']",Kristi Shimek,Marlon Espino,"['Ingenious', 'Southpaw Entertainment', 'Redline Entertainment', 'Highland Film Group']",,,,303408.0,
Survive the Night,Matt Eskandari,"['Randall Emmett', 'George Furla', 'Shaun Sanghani', 'Adam Harris Engelhard', 'Mark Stewart']",Bryan Koss,United States,90,2020-05-16,Lionsgate,English,Doug Wolfe,"['Chad Michael Murray', 'Bruce Willis', 'Shea Buckner', 'Tyler Jon Olson', 'Lydia Hull', 'Jessica Abrams', 'Sara Lynn Holbrook', 'Jef Holbrook']",R. J. Cooper,Nima Fakhrara,"['Grindstone Entertainment Group', 'Emmett Furla Oasis Films', 'SSS Entertainment']",,,,220371.0,
The Wanting Mare,Nicholas Ashe Bateman,"Nicholas Ashe Bateman, David A. Ross, Z. Scott Schaefer, Lawrence Inglee",David A. Ross,United States,89,2020-05-22,Gravitas Ventures,English,Nicholas Ashe Bateman,,Nicholas Ashe Bateman,Aaron Boudreaux,,,,,,
The High Note,Nisha Ganatra,"['Tim Bevan', 'Eric Fellner']",Jason McCormick,United States,113,2020-05-29,Focus Features,English,Flora Greeson,"['Dakota Johnson', 'Tracee Ellis Ross', 'Kelvin Harrison Jr.', 'Zoë Chao', 'Bill Pullman', 'Eddie Izzard', 'Ice Cube']",Wendy Greene Bricmont,Amie Doherty,"['Working Title Films', 'Perfect World Pictures']",,,20000000.0,2500000.0,Failure
Shirley,Josephine Decker,"['Jeffrey Soros', 'Simon Horsman', 'Christine Vachon', 'David Hinojosa', 'Elisabeth Moss', 'Sue Naegle', 'Sarah Gubbins']",Sturla Brandth Grøvlen,United States,107,2020-01-25,Neon,English,Sarah Gubbins,"['Elisabeth Moss', 'Michael Stuhlbarg', 'Odessa Young', 'Logan Lerman']",David Barker,Tamar-kali,"['Killer Films', 'Los Angeles Media Fund']","['Shirley', 'by ', 'Susan Scarf Merrell']",,,305805.0,
The Last Days of American Crime,Olivier Megaton,"['Jesse Berger', 'Jason Michael Berman', 'Barry Levine']",Daniel Aranyó,United States,149,2020-06-05,Netflix,English,Karl Gajdusek,"['Édgar Ramírez', 'Michael Pitt', 'Anna Brewster', 'Patrick Bergin', 'Sharlto Copley']",Mickael Dumontier,"['David Menke', 'The Limiñanas']","['Netflix', 'Radical Studios', 'Mandalay Pictures']","['Rick Remender', 'Greg Tocchini']","['Rick Remender', 'Karl Gajdusek']",,,
Becky,"['Jonathan Milott', 'Cary Murnion']","['Raphael Margules', 'J.D. Lifshitz', 'Jordan Yale Levine', 'Jordan Beckerman', 'Russ Posternak']",Greta Zozula,United States,93,2020-06-05,"['Quiver Distribution', 'Redbox Entertainment']",English,"['Nick Morris', 'Lane Skye', 'Ruckus Skye']","['Lulu Wilson', 'Kevin James', 'Joel McHale']",Alan Canant,Nima Fakhrara,"['Yale Productions', 'BoulderLight Pictures']",,,,1100000.0,
Mighty Oak,Sean McNamara,"['Frank Ragen', 'David Brookwell', 'Sean McNamara']",Robert Hayes,United States,102,2020-06-05,Paramount Pictures,English,Matt R. Allen,"['Janel Parrish', 'Alexa PenaVega', 'Carlos PenaVega', 'Raven-Symoné', 'Levi Dylan', 'Tommy Ragen']","['Maysie Hoy', 'Matt Michael']",John Coda,Brookwell McNamara Entertainment,,"['Frank Ragen', 'Matt R. Allen']",,,
Think Like a Dog,Gil Junger,"['Cory Chen', 'Andrew Lazar', 'Linshu Zhang']",Giles Nuttgens,United States,91,2020-06-09,Lionsgate,English,Gil Junger,"['Megan Fox', 'Gabriel Bateman', 'Josh Duhamel', 'Kunal Nayyar', 'Todd Stashwick']",David S. Clark,Jake Monaco,"['M-Star International', 'Mad Chance', '120dB Films', 'Ingenious Media']",,,12900000.0,,
Da 5 Bloods,Spike Lee,"['Jon Kilik', 'Spike Lee', 'Beatriz Levin', 'Lloyd Levin']",Newton Thomas Sigel,United States,156,2020-06-12,Netflix,English,"['Danny Bilson', 'Paul De Meo', 'Kevin Willmott', 'Spike Lee']","['Delroy Lindo', 'Jonathan Majors', 'Clarke Peters', 'Norm Lewis', 'Isiah Whitlock Jr.', 'Mélanie Thierry', 'Paul Walter Hauser', 'Jasper Pääkkönen', 'Jean Reno', 'Chadwick Boseman']",Adam Gough,Terence Blanchard,"['40 Acres and a Mule Filmworks', 'Rahway Road', 'Lloyd Levin/Beatriz Levin Production']",,,35000000.0,,
Artemis Fowl,Kenneth Branagh,"['Kenneth Branagh', 'Judy Hofflund']",Haris Zambarloukos,United States,93,2020-06-12,"['Walt Disney Studios Motion Pictures', ' ', ' ', 'Disney+']",English,"['Conor McPherson', 'Hamish McColl']","['Ferdia Shaw', 'Lara McDonnell', 'Josh Gad', 'Tamara Smart', 'Nonso Anozie', 'Colin Farrell', 'Judi Dench']",Matthew Tucker,Patrick Doyle,Walt Disney Pictures,"['Artemis Fowl', 'by ', 'Eoin Colfer']",,125000000.0,,
The King of Staten Island,Judd Apatow,"['Judd Apatow', 'Barry Mendel']",Robert Elswit,United States,137,2020-06-12,Universal Pictures,English,"['Judd Apatow', 'Pete Davidson', 'Dave Sirus']","['Pete Davidson', 'Marisa Tomei', 'Bill Burr', 'Bel Powley', 'Maude Apatow', 'Steve Buscemi']","['Jay Cassidy', 'William Kerr', 'Brian Scott Olds']",Michael Andrews,"['Apatow Productions', 'Perfect World Pictures']",,,35000000.0,2200000.0,Failure
Sniper: Assassin's End,Kaare Andrews,"['Greg Malcolm', 'Vicki Sotheran']",Stirling Bancroft,United States,95,2020-06-16,Sony Pictures Home Entertainment,,Oliver Thompson,"['Chad Michael Collins', 'Tom Berenger', 'Sayaka Akimoto', 'Ryan Robbins', 'Lochlyn Munro', 'Emily Tennant', 'Vincent Gale', 'Michael Jonsson']",Greg Ng,Patric Caird,Destination Films,"['Characters created', 'by Michael Frost Beckner', 'Crash Leyland']",,,,
You Should Have Left,David Koepp,"['Jason Blum', 'Dean O’Toole', 'Kevin Bacon']",Angus Hudson,United States,93,2020-06-18,Universal Pictures,English,David Koepp,"['Kevin Bacon', 'Amanda Seyfried', 'Avery Essex']",Derek Ambrosi,Geoff Zanelli,['Blumhouse Productions'],"['You Should Have Left', 'by ', 'Daniel Kehlmann']",,4000000.0,,
Wasp Network,Olivier Assayas,"['Charles Gillibert', 'Rodrigo Teixeira']","['Yorick Le Saux', 'Denis Lenoir']",,123,2019-09-01,"['Memento Films Distribution (France)', 'Wanda Films (Spain)', 'Netflix (Select territories)']",,Olivier Assayas,"['Penélope Cruz', 'Édgar Ramírez', 'Gael García Bernal', 'Ana de Armas', 'Wagner Moura']",Simon Jacquet,Eduardo Cruz,"['Orange Studio', 'RT Features', 'CG Cinéma', 'France TV Cinema', 'Nostromo Pictures', 'Scope Pictures', 'Memento Films', 'France 2 Cinéma']","['The Last Soldiers of the Cold War', '2015 novel', 'by ', 'Fernando Morais']",,,1400000.0,
Feel the Beat,Elissa Down,Susan Cartsonis,Amir Mokri,United States,107,2020-06-19,Netflix,English,"['Michael Armbruster', 'Shawn Ku']","['Sofia Carson', 'Enrico Colantoni', 'Donna Lynne Champlin', 'Wolfgang Novogratz']",Jane Moran,Michael Yezerski,"['Resonate Entertainment', 'Bitter Boy Productions Ltd.', 'DeluxeFAM Contenidos']",,,,,
7500,Patrick Vollrath,"['Maximilian Leo', 'Jonas Katzenstein']",Sebastian Thaler,,92,2019-08-09,"['Universum Film (Germany/Austria)', 'Amazon Studios (United States)']",,Senad Halilbašić and Patrick Vollrath,"['Joseph Gordon-Levitt', 'Omid Memar', 'Aylin Tezel', 'Carlo Kitzlinger', 'Murathan Muslu', 'Paul Wollin']",Hansjörg Weißbrich,,"['MMC Studios', 'Augenschein Filmproduktion', 'FilmNation Entertainment', 'Endeavor Content']",,,5000000.0,,
Athlete A,"['Bonni Cohen', 'Jon Shenk']","['Serin Marshall', 'Jen Sey', 'Julie Parker Benello']",,United States,104,2020-06-24,Netflix,English,,,Don Bernier,Jeff Beal,Actual Films,,,,,
Eurovision Song Contest: The Story of Fire Saga,David Dobkin,"['Will Ferrell', 'Jessica Elbaum', 'Chris Henchy']",Danny Cohen,United States,123,2020-06-26,Netflix,English,"['Will Ferrell', 'Harper Steele']","['Will Ferrell', 'Rachel McAdams', 'Dan Stevens', 'Melissanthi Mahut', 'Mikael Persbrandt', 'Ólafur Darri Ólafsson', 'Graham Norton', 'Demi Lovato', 'Pierce Brosnan']",Greg Hayden,Atli Örvarsson,"['Gary Sanchez Productions', 'Gloria Sanchez Productions', 'EBU']",,,35000000.0,,
Irresistible,Jon Stewart,"['Dede Gardner', 'Jeremy Kleiner', 'Jon Stewart', 'Lila Yacoub']",Bobby Bukowski,United States,102,2020-06-26,"['Focus Features', ' (United States)', 'Universal Pictures', ' (International)']",English,Jon Stewart,"['Steve Carell', 'Chris Cooper', 'Mackenzie Davis', 'Topher Grace', 'Natasha Lyonne', 'Rose Byrne']","['Jay Rabinowitz', 'Mike Selemon']",Bryce Dessner,"['Busboy Productions', 'Plan B Entertainment']",,,,471962.0,
My Spy,Peter Segal,"['Chris Bender', 'Peter Segal', 'Jake Weiner', 'Robert Simonds', 'Gigi Pritzker', 'Dave Bautista', 'Jonathan Meisner']",Larry Blanford,United States,99,2020-01-09,"['Amazon Studios (United States)', 'STX Entertainment (international)']",English,"['Jon Hoeber', 'Erich Hoeber']","['Dave Bautista', 'Chloe Coleman', 'Kristen Schaal', 'Parisa Fitz-Henley', 'Ken Jeong']",Jason Gourson,Dominic Lewis,"['STXfilms', 'MWM Studios']",,,18000000.0,10500000.0,Failure
